IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,584331468,9999.995,1099.9994,6535.093,0.1259731,-0.23583406,-2.731133,0.04526329,0.13740504,36.90744,0.017136857,0.0023677016,-0.031831507,0.90657085,-0.030006824,-0.041305475,0.46745756,0.42464164,0.44474658,0.4358422,-0.023837285,-0.0239715,-0.025090754,-0.024390543,112.32703,112.31056,106.38326,106.38573,0,0,0,0,0,0,0,0,0,0,0,0,-0.008686461,-0.009748362,-0.005991389,-0.006408962,0.025370667,0.025877854,0.025796175,0.025218513,0.005678922,0.0015527532,0.0056216493,0.004797712,116,4,98,2,10,-115.797386,204.45284,-5071.78,36.90772,-133410.8,-194.90889,115.280785,115.029884,115.56064,115.56064,-14.7,1,0,0,0,0,342.4317,0,0,0,0,0,0,3,0,0,0
True,584334500,9999.995,1099.9994,6538.117,0.11335194,0.2533151,-1.0161489,0.03517914,0.117287636,36.60386,-0.015080889,0.0024529423,0.006758515,0.90702415,-0.03098087,-0.04357545,0.44787723,0.4413693,0.45095304,0.44098473,0.034119427,0.03460111,0.030139746,0.029749362,112.30623,112.3025,106.487915,106.47295,0,0,0,0,0,0,0,0,0,0,0,0,-0.010472859,-0.011604151,-0.0075208927,-0.007971795,0.03569056,0.036495112,0.031063937,0.030798929,0.0037919655,0.003164798,0.00619594,0.005273558,116,4,98,2,10,-110.47221,204.67912,-5067.6235,36.60406,125966.664,184.00952,115.2478,115.003784,115.55116,115.55116,-7.3205996,1,0,0,0,0,345.46494,0,0,255,0,0,0,3,0,0,0
True,584334609,9999.995,1099.9994,6686.12,0.3868401,-0.29413387,2.657944,0.03422737,0.010473013,36.96486,-0.02051643,0.003308734,-0.004198364,0.90744305,-0.032900333,-0.043667104,0.33315524,0.34898236,0.38981745,0.3964162,0.14078271,0.14297542,0.104060225,0.10221329,114.9873,115.00282,108.80901,108.7638,0,0,0,0,0,0,0,0,0,0,0,0,-0.009625955,-0.009943969,-0.006179959,-0.00647534,0.14111142,0.1433208,0.10424357,0.1024182,-0.007263787,-0.0057385266,0.00053898245,0.0011495724,116,4,98,2,10,-107.06963,204.8253,-5064.9688,36.964874,391516.22,559.4231,115.23155,114.99072,115.55861,115.55861,0,1,0,0,0,0,345.58246,0,0,255,0,0,0,3,0,0,0
True,584334718,9999.995,1099.9994,6769.7183,0.31617486,-0.38195753,4.389059,0.038822174,-0.11552966,37.44402,-0.02563114,0.006644885,-0.049901128,0.90801686,-0.03508753,-0.04573935,0.38154492,0.2820365,0.40028733,0.40298167,0.12847885,0.14779289,0.10262709,0.098377645,116.32035,116.52813,110.197556,110.10777,0,0,0,0,0,0,0,0,0,0,0,0,-0.007360476,-0.007352941,-0.002522559,-0.0025253897,0.12868951,0.14797568,0.102658086,0.098410055,-0.0026004761,-0.012190096,0.001507774,0.0017570853,116,4,98,2,10,-104.14544,204.94542,-5062.689,37.44422,396015.56,558.7843,115.2249,114.98182,115.570816,115.570816,0,1,0,0,0,0,345.6822,0,0,255,0,0,0,3,0,0,0
True,584334828,9999.995,1099.9994,6857.2275,0.18014431,0.6894619,4.894723,0.05570984,-0.1558075,38.008606,-0.020492457,0.0048918463,-0.05344559,0.9089494,-0.03849465,-0.054123316,0.45066434,0.4037388,0.5006661,0.4974162,0.13019602,0.12294271,0.08365908,0.081113905,118.07315,117.957924,111.54637,111.485344,0,0,0,0,0,0,0,0,0,0,0,0,-0.010910119,-0.009488951,-0.0058086934,-0.005338792,0.13065234,0.12330835,0.083860494,0.08128941,0.004060559,-0.00046165287,0.010795951,0.010495238,116,4,98,2,10,-100.66279,205.09047,-5059.979,38.008965,400474.44,557.8942,115.22366,114.980545,115.59589,115.59589,0,1,0,0,0,0,345.79922,0,0,255,0,0,0,3,0,0,0
True,584334937,9999.995,1099.9994,6955.9272,-0.16471148,0.08931184,4.918542,0.048734665,-0.10880053,38.47265,0.022542432,0.0045535825,-0.004264744,0.90934235,-0.037559874,-0.056119055,0.36502916,0.3697047,0.5308717,0.5269838,0.14135738,0.14058551,0.105936155,0.10417578,119.61292,119.585915,113.225464,113.1779,0,0,0,0,0,0,0,0,0,0,0,0,-0.014301916,-0.012894345,-0.009007742,-0.00810075,0.14207904,0.1411756,0.10631843,0.104490265,-0.004192099,-0.0037415177,0.013590917,0.013231166,116,4,98,2,10,-97.65623,205.22354,-5057.6436,38.47283,405298.2,556.60315,115.22089,114.9827,115.621,115.621,0,1,0,0,0,0,345.8988,0,0,255,0,0,0,3,0,0,0
True,584335046,9999.995,1099.9994,7046.9795,0.006341696,-0.046221033,4.8683023,0.04351616,-0.11321318,39.026707,-0.009927466,0.0051713865,-0.004487507,0.9098652,-0.037079938,-0.056350045,0.33706793,0.3418602,0.44875896,0.46086606,0.12446355,0.12806144,0.09511285,0.09440229,121.139725,121.16512,114.70909,114.67552,0,0,0,0,0,0,0,0,0,0,0,0,-0.012618682,-0.012418458,-0.007553169,-0.007180096,0.12510158,0.12866215,0.09541229,0.094674945,-0.0068867207,-0.006424889,0.005992919,0.0071132034,116,4,98,2,10,-94.10417,205.37688,-5054.885,39.02689,409542.03,555.1448,115.22549,114.98996,115.64879,115.64879,0,1,0,0,0,0,346.01492,0,0,255,0,0,0,3,0,0,0
True,584335171,9999.995,1099.9994,7170.7603,3.5877397,0.07929913,4.4999843,0.17757607,-0.10862684,39.54292,0.0041032936,0.16606241,0.029694954,0.91722,-0.037088446,-0.054877613,0.40440577,0.32655787,0.45496583,0.42592868,0.15801775,0.23224679,0.087207675,0.1255234,123.60495,123.80531,116.460434,116.35599,0,0,0,0,0,0,0,0,0,0,0,0,0.43738428,0.47851217,-0.002397238,-0.0018097359,0.46505335,0.53189516,0.08724062,0.12553644,-0.00039737672,-0.007899575,0.006567247,0.003880404,116,4,98,2,10,-90.46324,205.53471,-5052.082,39.54347,414935.75,552.79486,115.24455,115.00101,115.68701,115.68701,0,1,0,0,0,0,346.13193,0,0,255,0,0,0,3,127,0,0
True,584335296,9999.995,1099.9994,7310.6143,9.962829,1.0310044,4.0674663,-0.23503113,-0.10553944,40.05588,-0.032058306,0.46660402,0.010819614,0.9611553,-0.03766319,-0.05335427,0.5194581,0.32623237,0.61181194,0.45143825,0.20324922,0.40622294,0.08095348,0.16568442,126.48178,126.83083,118.6752,117.92445,0,0,0,0,0,0,0,0,0,0,0,0,0.8757561,1.0292585,0.13756377,0.14926079,0.89903224,1.1065216,0.15961596,0.22300248,0.010690212,-0.007930942,0.021080427,0.0062408373,116,4,98,2,10,-86.20234,205.71626,-5048.951,40.05671,420597.22,549.6448,115.31862,115.05832,115.74722,115.74722,0,1,0,0,0,0,346.26483,0,0,255,0,0,0,3,127,0,0
True,584335406,9999.995,1099.9994,7424.0527,13.280264,1.0034528,4.1865845,-0.91880226,-0.092883706,40.38223,-0.017002257,0.5687842,0.0067521315,1.0140188,-0.037234616,-0.054969896,0.45906192,0.21723428,0.5929041,0.3934909,0.25588945,0.5115671,0.10468108,0.23697872,128.42242,128.89511,120.33935,119.87936,0,0,0,0,0,0,0,0,0,0,0,0,1.0215564,1.2013779,0.2841807,0.3136266,1.0531176,1.3057601,0.3028478,0.39309102,0.0048698336,-0.018435083,0.01933086,0.00087889284,116,4,98,2,10,-82.87888,205.86096,-5046.6895,40.392788,424856.53,546.6702,115.52346,115.25679,115.81181,115.81181,0,1,0,0,0,0,346.36484,0,0,255,0,0,0,3,127,0,0
