IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,501460937,8199.995,799.9995,2223.0017,-0.05089569,-1.4149029,1.509249,-0.12806225,-0.196445,-8.012052,0.109452195,-0.010628013,0.01197627,-1.1923281,0.033576075,0.06794676,0.59389615,0.2766857,0.5535271,0.59507346,-0.0012746858,-0.027361479,0.031621117,0.03131738,-23.910892,-24.039764,-22.784834,-22.6855,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.120000005,0.59999996,0.0750008,0.08603562,0.062481254,0.0645679,0.07501163,0.09028166,0.07002715,0.07176205,0.0076531395,-0.013707675,0.0063424855,0.009009197,32,4,132,1,8,-148.63802,226.87354,-5527.137,8.015482,-15053.087,-64.642044,116.23329,116.61493,175.87093,175.87093,-11.024998,1,0,0,0,0,25.050558,0,0,0,0,0,0,0,0,0,0
True,501622968,8199.995,799.9995,2136.304,-0.3533011,2.0712042,1.3104832,0.061239243,0.15920904,-7.7849483,-0.10721173,-0.0011835562,0.015524227,-1.1928325,0.03336919,0.014134706,0.77802914,0.70548534,0.38000038,0.6517458,-0.004685038,-0.0016296781,0.05475415,-0.002066416,-22.936716,-22.949175,-21.938673,-21.7583,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.120000005,0.59999996,-0.05783455,-0.043532815,-0.04014847,-0.042099684,0.058024004,0.04356331,0.067896366,0.042150367,0.020052575,0.015167505,-0.004795581,0.012646794,32,4,132,1,8,-147.28267,226.9148,-5527.661,7.7868166,-13605.298,-60.760666,115.6577,115.87246,172.71414,172.71414,-11.024998,1,0,0,0,0,187.08394,0,0,0,0,0,0,0,0,0,0
True,501623093,8199.995,799.9995,2075.3264,-1.5717213,-1.3016431,1.081954,-0.10831308,0.0018439814,-7.6348333,-0.0056809336,0.012600296,0.25862467,-1.1919707,0.027997447,0.040193416,0.30135822,0.71892554,0.58604264,0.47545642,-0.023655333,-0.0012480675,0.013917205,0.14661126,-22.724522,-22.661379,-21.56706,-20.882654,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.59999996,-0.026951605,-0.01500071,0.011131915,-0.0041448055,0.035860337,0.01505254,0.017821563,0.14666983,-0.01204624,0.016072564,0.008429542,0.0013314039,32,4,132,1,8,-146.44736,226.95348,-5527.999,7.635602,-12621.287,-58.009815,115.31369,115.44943,170.93799,170.93799,-11.024998,1,0,0,0,0,187.20102,0,0,0,0,0,0,0,0,0,0
True,501623187,8199.995,799.9995,2066.7136,0.28691176,-0.89795864,1.3076698,-0.029016256,-0.07351586,-7.5041876,0.0039283503,0.01022932,-0.05987538,-1.1908991,0.026867738,0.047124494,0.3094777,0.6642982,0.6282932,0.30994654,-0.0016516591,-0.00157961,0.03506321,0.044099454,-22.195408,-22.258348,-21.159384,-21.114159,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.120000005,0.59999996,0.033047497,0.032039654,0.04104383,0.0463361,0.033088744,0.032078568,0.053981707,0.063967146,-0.011499479,0.012393981,0.011141457,-0.009292088,32,4,132,1,8,-145.74667,226.96974,-5528.2866,7.5046043,-12446.3545,-57.510315,115.05797,115.113464,169.5416,169.5416,-11.024998,1,0,0,0,0,187.301,0,0,0,0,0,0,0,0,0,0
True,501623296,8199.995,799.9995,2025.3348,-0.4312291,1.7507442,1.681311,-0.042402744,0.075828,-7.3094425,0.076157175,-0.0019297977,0.13518459,-1.1900992,0.031064289,0.04655489,0.7268987,0.46106222,0.3881672,0.91302145,-0.0014214863,-0.0038793108,0.029537126,0.042357367,-21.764708,-21.784878,-20.524824,-20.90234,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.59999996,-0.0061408053,-0.0097619975,-0.013228198,-0.008909611,0.006303183,0.010504553,0.032363977,0.043284267,0.016609475,-0.0012918413,-0.0042713806,0.02941715,32,4,132,1,8,-144.94487,226.98846,-5528.6084,7.3099585,-11791.999,-55.611897,114.793304,114.74438,168.03172,168.03172,-11.024998,1,0,0,0,0,187.41747,0,0,0,0,0,0,0,0,0,0
True,501623406,8199.995,799.9995,1978.3582,0.11251342,0.5127827,1.2739896,-0.02707696,0.10462554,-7.175003,0.036390595,0.006082476,-0.14348851,-1.1895405,0.038625482,0.050826225,0.7866913,0.42471114,0.32305443,0.7224233,-0.0021332765,-0.0035743564,0.031268395,0.04246943,-21.296741,-21.339336,-20.277853,-20.188423,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.59999996,0.049839932,0.05389766,0.066854596,0.052951522,0.049885567,0.054016054,0.07380549,0.067878686,0.02063588,-0.0037397072,-0.008450739,0.017183334,32,4,132,1,8,-144.2752,227.02943,-5528.8843,7.1758175,-11108.048,-53.573936,114.58873,114.44782,166.83093,166.83093,-11.024998,1,0,0,0,0,187.51775,0,0,0,0,0,0,0,0,0,0
True,501623515,8199.995,799.9995,1941.6963,-0.13471833,-1.2639447,1.10008,0.0061101913,-0.11269078,-7.0442405,0.034512036,-0.002511468,0.020450205,-1.1891052,0.040998798,0.03614999,0.5199402,0.4141195,0.27832538,0.5350098,-0.0017522782,-0.002877162,0.07815964,-0.0024125527,-20.930264,-20.92038,-19.823217,-19.893164,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.59999996,-0.0094605675,-0.0068276743,-0.013481747,-0.011646766,0.009621477,0.0074091293,0.079313844,0.011894015,0.0026729777,-0.004452944,-0.011321738,0.005153924,32,4,132,1,8,-143.50645,227.05968,-5529.1904,7.045144,-10578.057,-51.954006,114.36163,114.129555,165.54303,165.54303,-11.024998,1,0,0,0,0,187.63423,0,0,0,0,0,0,0,0,0,0
True,501623640,8199.995,799.9995,1906.7776,-1.1215632,0.9364144,1.3599355,-0.14570951,-0.03568083,-6.884803,0.011470258,-0.013968018,0.32994533,-1.1901028,0.043852687,0.05937887,0.5237148,0.50330997,0.33343998,0.6184933,-0.0026361507,-0.0026673225,0.044683725,-0.0029079898,-20.484653,-20.384987,-19.651827,-19.35031,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.120000005,0.013500462,0.009689969,-0.0077498066,-0.011771385,0.013755427,0.010050379,0.045350797,0.012125258,0.0029271543,0.0015531033,-0.007784128,0.010512434,32,4,132,1,8,-142.75545,227.08015,-5529.4995,6.8864365,-10049.473,-50.30021,114.15354,113.83498,164.3577,164.3577,-11.024998,1,0,0,0,0,187.75081,0,0,0,0,0,0,0,0,0,0
True,501623750,8199.995,799.9995,1857.7887,0.95331573,1.7809712,1.5895717,-0.04428935,0.21498448,-6.699308,0.036282174,-0.010745448,-0.080473185,-1.1915091,0.044183288,0.079226166,0.521112,0.5780373,0.7437657,0.559929,-0.001055868,-0.0035509053,0.04723693,-5.3038733E-05,-19.942621,-19.868614,-19.158125,-18.841965,0,0,0,0,0,0,0,0,0.120000005,0.59999996,0.120000005,0.120000005,0.070118316,0.06459868,0.04931079,0.04688055,0.070126265,0.0646962,0.068285294,0.04688058,0.0027518868,0.0065852106,0.018553227,0.0067534,32,4,132,1,8,-142.025,227.1282,-5529.807,6.7029023,-9351.268,-48.05243,113.9613,113.56372,163.27379,163.27379,-11.024998,1,0,0,0,0,187.86766,0,0,0,0,0,0,0,0,0,0
True,501623859,8199.995,799.9995,1801.1244,0.9612248,-2.0137973,1.2361745,0.036295414,-0.09089544,-6.5877304,0.057353027,-0.009626788,-0.14924219,-1.1921862,0.050239008,0.06327302,0.5517187,0.26085153,0.38241267,0.558132,-0.0019217749,-0.022861347,0.13229562,0.017883573,-19.62135,-19.708246,-18.130833,-18.710226,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,0.031909626,0.039503165,0.025148647,0.012428418,0.031967446,0.04564144,0.13466471,0.021778148,0.004812926,-0.0147739425,-0.004640743,0.0066380575,32,4,132,1,8,-141.40915,227.16722,-5530.0527,6.5884576,-8592.164,-45.51863,113.80943,113.34213,162.41031,162.41031,-11.024998,1,0,0,0,0,187.96764,0,0,0,0,0,0,0,0,0,0
